señora,"[39, 33, 5]"
desea,"[10, 2, 0]"
saliendo,"[3, 1, 1]"
antes,"[59, 35, 34]"
saludar,"[2, 3, 0]"
imposicion,"[1, 0, 0]"
mampara,"[2, 0, 1]"
pintados,"[2, 1, 0]"
cristales,"[3, 0, 1]"
interno,"[1, 1, 0]"
patio,"[3, 4, 7]"
sentose,"[3, 0, 0]"
conventual,"[2, 0, 0]"
sillon,"[8, 0, 4]"
cuero,"[1, 0, 0]"
dejando,"[11, 3, 2]"
vagar,"[2, 0, 0]"
mirada,"[19, 6, 17]"
mamarrachos,"[1, 0, 0]"
artisticos,"[1, 0, 0]"
recibian,"[2, 0, 0]"
homenaje,"[2, 2, 0]"
reinaba,"[3, 0, 3]"
calma,"[10, 0, 4]"
edificio,"[1, 0, 0]"
encontrarse,"[6, 0, 0]"
parte,"[32, 20, 8]"
centrica,"[1, 0, 0]"
aunque,"[54, 19, 14]"
bastante,"[9, 6, 1]"
defensa,"[8, 1, 1]"
proporcionaba,"[2, 0, 0]"
estar,"[16, 16, 4]"
enclavado,"[1, 0, 0]"
extremo,"[18, 2, 4]"
calleja,"[1, 1, 0]"
embudo,"[1, 0, 0]"
recogia,"[1, 0, 1]"
ruidos,"[1, 0, 1]"
propios,"[8, 6, 0]"
irlos,"[1, 0, 0]"
disminuyendo,"[1, 0, 0]"
conducirlos,"[1, 0, 0]"
amortiguados,"[2, 0, 0]"
hasta,"[80, 206, 72]"
puertas,"[7, 11, 3]"
extinguian,"[1, 0, 0]"
temerosos,"[1, 1, 0]"
salvar,"[3, 3, 5]"
umbrales,"[1, 0, 0]"
dedicada,"[1, 1, 0]"
oraciones,"[3, 1, 2]"
educacion,"[3, 2, 1]"
religiosa,"[4, 0, 0]"
cuando,"[129, 195, 74]"
distraido,"[3, 0, 0]"
momentaneamente,"[3, 0, 0]"
fijaba,"[1, 0, 1]"
pequeña,"[5, 5, 4]"
ventana,"[6, 1, 0]"
empañados,"[2, 0, 1]"
orlada,"[1, 0, 0]"
estampitas,"[1, 0, 0]"
fachada,"[3, 0, 0]"
abria,"[5, 4, 1]"
continuacion,"[3, 3, 0]"
mercenaria,"[1, 0, 0]"
callejuela,"[1, 0, 0]"
monotona,"[2, 0, 2]"
plegaria,"[1, 2, 0]"
cruzar,"[1, 0, 0]"
rapido,"[6, 0, 1]"
encuentro,"[9, 5, 4]"
transeuntes,"[1, 0, 0]"
todos,"[67, 117, 59]"
detalles,"[8, 3, 3]"
arteria,"[1, 0, 0]"
principal,"[4, 2, 0]"
ciudad,"[7, 32, 6]"
confuso,"[3, 1, 0]"
rumor,"[6, 0, 3]"
producia,"[10, 0, 1]"
calle,"[13, 4, 6]"
llegaba,"[9, 1, 4]"
rugido,"[2, 0, 0]"
dominaban,"[1, 0, 0]"
gritos,"[5, 7, 8]"
estridentes,"[1, 0, 0]"
repetian,"[1, 0, 1]"
metodica,"[1, 0, 0]"
vocear,"[1, 0, 0]"
vendedores,"[1, 0, 0]"
papeles,"[5, 0, 2]"
desde,"[42, 49, 35]"
porteria,"[2, 0, 0]"
podian,"[6, 9, 7]"
precisarse,"[1, 0, 0]"
desconocido,"[7, 0, 2]"
momentos,"[12, 2, 2]"
extraordinaria,"[1, 1, 0]"
anunciaba,"[1, 0, 2]"
madrugada,"[4, 0, 1]"
anterior,"[10, 1, 1]"
general,"[11, 1, 0]"
pavia,"[1, 0, 0]"
penetrado,"[2, 0, 0]"
palacio,"[25, 46, 1]"
representacion,"[3, 0, 1]"
nacional,"[3, 0, 0]"
disolver,"[1, 0, 0]"
fuerza,"[17, 12, 11]"
cortes,"[6, 2, 0]"
constituyentes,"[1, 0, 0]"
golpe,"[10, 3, 6]"
esperado,"[1, 0, 0]"
elementos,"[1, 0, 0]"
republica,"[4, 0, 0]"
caido,"[5, 0, 4]"
estaba,"[67, 72, 87]"
muerta,"[2, 1, 0]"
buscaba,"[3, 0, 5]"
indiferente,"[3, 0, 0]"
nuevo,"[13, 14, 5]"
proporcionarle,"[2, 0, 0]"
soldado,"[4, 0, 1]"
burlesco,"[2, 0, 0]"
heroe,"[5, 1, 1]"
popular,"[2, 1, 0]"
alzabase,"[1, 0, 0]"
estridente,"[1, 0, 0]"
chillido,"[1, 0, 0]"
pestañeaba,"[1, 0, 0]"
alejar,"[1, 0, 0]"
dolorosa,"[6, 0, 0]"
venia,"[6, 5, 11]"
turbarle,"[1, 0, 0]"
meditaciones,"[1, 0, 0]"
harto,"[2, 0, 0]"
tardo,"[7, 2, 2]"
pasos,"[14, 2, 4]"
tardos,"[1, 0, 0]"
acompasados,"[1, 0, 0]"
sonaron,"[6, 0, 2]"
asomando,"[3, 0, 1]"
medio,"[16, 25, 14]"
eterna,"[5, 2, 3]"
levantose,"[5, 0, 0]"
precedido,"[2, 0, 0]"
atraveso,"[2, 3, 2]"
maestra,"[1, 1, 0]"
pasados,"[4, 3, 2]"
viejo,"[9, 9, 30]"
gruesa,"[1, 0, 3]"
baranda,"[1, 0, 0]"
labrada,"[1, 0, 0]"
berroqueños,"[1, 0, 0]"
leones,"[1, 3, 1]"
rampantes,"[1, 0, 0]"
roidos,"[1, 0, 1]"
sosteniendo,"[1, 2, 1]"
escudos,"[1, 0, 0]"
peldaños,"[1, 2, 0]"
gastados,"[1, 0, 0]"
angulosos,"[1, 0, 0]"
encias,"[1, 0, 0]"
subieron,"[1, 6, 0]"
escalerilla,"[1, 0, 0]"
construccion,"[1, 1, 1]"
moderna,"[2, 0, 0]"
extensa,"[1, 0, 0]"
conducia,"[2, 1, 0]"
estaban,"[13, 17, 15]"
habitacion,"[11, 3, 4]"
despacho,"[9, 3, 0]"
salon,"[6, 8, 0]"
recibir,"[9, 1, 0]"
entraba,"[3, 0, 4]"
conducido,"[2, 0, 0]"
pieza,"[2, 0, 0]"
indispensable,"[2, 2, 0]"
crucifijo,"[1, 0, 0]"
cromos,"[1, 0, 0]"
devotos,"[6, 0, 0]"
estanterias,"[1, 0, 0]"
libros,"[4, 9, 0]"
empolvados,"[1, 0, 1]"
encuadernados,"[2, 1, 0]"
ostentaba,"[4, 1, 0]"
varios,"[5, 7, 3]"
grandes,"[29, 17, 3]"
retrato,"[4, 0, 0]"
puesto,"[7, 10, 5]"
serafica,"[2, 0, 0]"
otros,"[24, 22, 12]"
representando,"[1, 0, 0]"
imagenes,"[1, 0, 0]"
bulas,"[1, 0, 0]"
concediendo,"[1, 0, 0]"
indulgencias,"[1, 0, 0]"
labores,"[1, 0, 0]"
caligraficas,"[1, 0, 0]"
quedo,"[23, 18, 8]"
butaca,"[1, 0, 0]"
